Table: Correlations
,,Geschlecht,Helligkeit,Geschlecht der Titelfigur,w/m-Faktor,Gender-Faktor,Seiten,Figurenanzahl am Cover,Geschlecht Hauptfigur,Quest,Innerer Monolog,Growing Up,Alltag/Abenteuer,Phantastische Elemente
Geschlecht,Pearson Correlation,"1,00","-,12",",32",",27",",32","-,21","-,03",",35","-,08",",14",",38",",08","-,22"
,Sig. (2-tailed),,",56",",18",",19",",12",",32",",87",",13",",72",",49",",06",",72",",29"
,N,25,25,19,25,25,25,25,20,25,25,25,25,25
Helligkeit,Pearson Correlation,"-,12","1,00","-,22","-,56","-,48","-,35","-,24","-,16",",25",",00","-,31","-,21","-,37"
,Sig. (2-tailed),",56",,",37",",00",",02",",08",",26",",51",",23",",98",",13",",32",",07"
,N,25,25,19,25,25,25,25,20,25,25,25,25,25
Geschlecht der Titelfigur,Pearson Correlation,",32","-,22","1,00",",63",",32","-,10","-,01",",95",",22","-,08",",03",",13","-,39"
,Sig. (2-tailed),",18",",37",,",00",",19",",67",",98",",00",",38",",73",",91",",61",",10"
,N,19,19,19,19,19,19,19,19,19,19,19,19,19
w/m-Faktor,Pearson Correlation,",27","-,56",",63","1,00",",50",",32",",22",",64","-,25",",16",",43",",44","-,01"
,Sig. (2-tailed),",19",",00",",00",,",01",",11",",30",",00",",23",",44",",03",",03",",95"
,N,25,25,19,25,25,25,25,20,25,25,25,25,25
Gender-Faktor,Pearson Correlation,",32","-,48",",32",",50","1,00",",12",",03",",41","-,40",",20",",48",",26","-,10"
,Sig. (2-tailed),",12",",02",",19",",01",,",57",",89",",07",",05",",35",",01",",21",",63"
,N,25,25,19,25,25,25,25,20,25,25,25,25,25
Seiten,Pearson Correlation,"-,21","-,35","-,10",",32",",12","1,00",",14","-,06","-,38",",24",",17",",43","-,03"
,Sig. (2-tailed),",32",",08",",67",",11",",57",,",50",",80",",06",",24",",43",",03",",90"
,N,25,25,19,25,25,25,25,20,25,25,25,25,25
Figurenanzahl am Cover,Pearson Correlation,"-,03","-,24","-,01",",22",",03",",14","1,00",",01",",15",",28",",24","-,23",",27"
,Sig. (2-tailed),",87",",26",",98",",30",",89",",50",,",97",",49",",18",",24",",26",",19"
,N,25,25,19,25,25,25,25,20,25,25,25,25,25
Geschlecht Hauptfigur,Pearson Correlation,",35","-,16",",95",",64",",41","-,06",",01","1,00",",09","-,04",",09",",21","-,42"
,Sig. (2-tailed),",13",",51",",00",",00",",07",",80",",97",,",70",",88",",70",",37",",07"
,N,20,20,19,20,20,20,20,20,20,20,20,20,20
Quest,Pearson Correlation,"-,08",",25",",22","-,25","-,40","-,38",",15",",09","1,00","-,39","-,44","-,68","-,03"
,Sig. (2-tailed),",72",",23",",38",",23",",05",",06",",49",",70",,",06",",03",",00",",90"
,N,25,25,19,25,25,25,25,20,25,25,25,25,25
Innerer Monolog,Pearson Correlation,",14",",00","-,08",",16",",20",",24",",28","-,04","-,39","1,00",",40",",39","-,27"
,Sig. (2-tailed),",49",",98",",73",",44",",35",",24",",18",",88",",06",,",05",",06",",19"
,N,25,25,19,25,25,25,25,20,25,25,25,25,25
Growing Up,Pearson Correlation,",38","-,31",",03",",43",",48",",17",",24",",09","-,44",",40","1,00",",09",",09"
,Sig. (2-tailed),",06",",13",",91",",03",",01",",43",",24",",70",",03",",05",,",67",",67"
,N,25,25,19,25,25,25,25,20,25,25,25,25,25
Alltag/Abenteuer,Pearson Correlation,",08","-,21",",13",",44",",26",",43","-,23",",21","-,68",",39",",09","1,00","-,14"
,Sig. (2-tailed),",72",",32",",61",",03",",21",",03",",26",",37",",00",",06",",67",,",52"
,N,25,25,19,25,25,25,25,20,25,25,25,25,25
Phantastische Elemente,Pearson Correlation,"-,22","-,37","-,39","-,01","-,10","-,03",",27","-,42","-,03","-,27",",09","-,14","1,00"
,Sig. (2-tailed),",29",",07",",10",",95",",63",",90",",19",",07",",90",",19",",67",",52",
,N,25,25,19,25,25,25,25,20,25,25,25,25,25
